director_name,full_urls,birthplace
David Lynch,imdb.com/name/nm0000186/?ref_=sr_t_1,"Missoula, Montana, USA"
Wong Kar-wai,imdb.com/name/nm0939182/?ref_=sr_t_1,"Shanghai, China"
Terrence Malick,imdb.com/name/nm0000517/?ref_=sr_t_1,"Ottawa, Illinois, USA"
Edward Yang,imdb.com/name/nm0945981/?ref_=sr_t_1,"Shanghai, China"
Jean-Luc Godard,imdb.com/name/nm0000419/?ref_=sr_t_1,"Paris, France"
Mohammad Rasoulof,imdb.com/name/nm1488024/?ref_=sr_t_1,"Shiraz, Iran"
Abbas Kiarostami,imdb.com/name/nm0452102/?ref_=sr_t_1,"Tehran, Iran"
Johnnie To,imdb.com/name/nm0864775/?ref_=sr_t_1,Hong Kong
Carlos Saura,imdb.com/name/nm0767022/?ref_=sr_t_1,"Huesca, Aragón, Spain"
Michel Gondry,imdb.com/name/nm0327273/?ref_=sr_t_1,"Versailles, Seine-et-Oise [now Yvelines], France"
Apichatpong Weerasethakul,imdb.com/name/nm0917405/?ref_=sr_t_1,"Bangkok, Thailand"
Hayao Miyazaki,imdb.com/name/nm0594503/?ref_=sr_t_1,"Tokyo, Japan"
Joshua Oppenheimer,imdb.com/name/nm1484791/?ref_=sr_t_1,"Texas, USA"
Wes Anderson,imdb.com/name/nm0027572/?ref_=sr_t_1,"Houston, Texas, USA"
Jia Zhangke,imdb.com/name/nm0422605/?ref_=sr_t_1,"Fenyang, Shanxi, China"
Gus Van Sant,imdb.com/name/nm0001814/?ref_=sr_t_1,"Louisville, Kentucky, USA"
Kathryn Bigelow,imdb.com/name/nm0000941/?ref_=sr_t_1,"San Carlos, California, USA"
David Cronenberg,imdb.com/name/nm0000343/?ref_=sr_t_1,"Toronto, Ontario, Canada"
Sarah Polley,imdb.com/name/nm0001631/?ref_=sr_t_1,"Toronto, Ontario, Canada"
Martin Campbell,imdb.com/name/nm0132709/?ref_=sr_t_1,"Hastings, New Zealand"
Miguel Gomes,imdb.com/name/nm0326937/?ref_=sr_t_1,"Lisbon, Portugal"
Pablo Berger,imdb.com/name/nm0074311/?ref_=sr_t_1,"Bilbao, Vizcaya, País Vasco, Spain"
Courtney Hunt,imdb.com/name/nm2581581/?ref_=sr_t_1,"Memphis, Tennessee, USA"
Robert Altman,imdb.com/name/nm0000265/?ref_=sr_t_1,"Kansas City, Missouri, USA"
Christopher Nolan,imdb.com/name/nm0634240/?ref_=sr_t_1,"London, England, UK"
Guillermo Del Toro,imdb.com/name/nm0868219/?ref_=sr_t_1,"Guadalajara, Jalisco, Mexico"
Michael Haneke,imdb.com/name/nm0359734/?ref_=sr_t_1,"Munich, Bavaria, Germany"
Werner Herzog,imdb.com/name/nm0001348/?ref_=sr_t_1,"Munich, Bavaria, Germany"
Cristian Mungiu,imdb.com/name/nm0612816/?ref_=sr_t_1,"Iasi, Romania"
